[0.5432511554144408, 0.0]
[0.3460061399712079, 0.19521235817738924]
[0.19004065402986564, 0.0021105512143740346]
[0.7808156561189992, 0.11260603418322546]
[1.0, 0.15693450857482144]
[0.4650760638431611, 0.13668675891175142]
[0.8471329734836366, 0.0]
[0.15762011192369862, 0.13237560720193697]
[0.3347221374947432, 0.13583678119847936]
[0.22100393826006648, 0.20889093397655367]
[0.3174341354815657, 0.2191870054952042]
[0.5087525407911475, 0.15776339949937734]
[0.5077361082840055, 0.0]
[0.5606737793361554, 0.03207159903989093]
[0.8637852700596507, 0.13574648280330393]
[0.1253359641505909, 0.15954650853611935]
[0.514281006460761, 0.12456638705576001]
[0.7667646740975327, 0.11315020403529047]
[0.785240493643667, 0.0]
[0.6105211754283981, 0.1905662140588985]
[0.8736743155603839, 0.0]
[0.1, 0.0]
[0.5090529858688861, 0.005626357085366573]
[0.718834745296351, 0.10123699464027591]
[0.2987963812304613, 0.0]
[0.9893458999389589, 0.0]
[0.74972730742665, 0.2012279524186792]
[0.74985290649567, 0.0]
[0.6836266393098238, 0.0]
[0.36962773706669316, 0.009577759596628654]
[0.17069457776577157, 0.0]
[0.20556884569634998, 0.0405324764336788]
[0.6945155698701662, 0.07957753169820317]
[0.4888036129385025, 0.12017567383756045]
[0.4658929262344389, 0.0]
[0.19980378047936126, 0.12983452101663964]
[0.2442692590521502, 0.10027704324926819]
[0.3471905851905602, 0.211800318631036]
[0.19571034483014138, 0.0]
[0.42321600481857324, 0.0]
[0.4351464118806159, 0.24337184782616061]
[0.4982754383076326, 0.0]
[0.16107843720654746, 0.0]
[0.1, 0.11957538619810382]
[0.42561558198528543, 0.0]
[0.7675146331335468, 0.0]
[0.43708085443112843, 0.1457985153989823]
[0.3706149600540383, 0.13955904523004603]
[0.47336963392503023, 0.0]
[0.8507074008383857, 0.0]
[0.16963348141475257, 0.1257270940451941]
[0.5630539163945834, 0.0]
[0.7903730779113537, 0.0]
[0.1, 0.0]
[0.2563938589309441, 0.22183374903843256]
[0.43417230948638535, 0.21178140188076375]
[0.330372255202879, 0.2018178354721316]
[1.0, 0.2219251248143578]
[0.5511778681348858, 0.2017329449993558]
[0.42711654170463836, 0.24688247195163288]
[0.9497498954770067, 0.0]
[0.1, 0.017296446154511314]
[0.21391697031745793, 0.0]
[0.1336489625225544, 0.15116463849250372]
[0.24737480454253863, 0.0032075590623113492]
[0.7971757507416751, 0.05154808717412823]
[0.1, 0.0]
[0.7768647055743183, 0.0]
[0.6537376524075098, 0.0]
[0.36104826575330407, 0.0750389848502323]
[0.3779815006316801, 0.06643134564361897]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.08548683808609081]
[0.5851056687048399, 0.0]
[0.1, 0.0]
[0.6623953933324442, 0.08949725182376406]
[0.1, 0.0]
[1.0, 0.0]
[0.2546639608057584, 0.1371260566627025]
[0.36650398282716695, 0.0]
[0.3473660141049475, 0.153032780884525]
[0.9617969933670547, 0.14223518861251294]
[0.7104530584612057, 0.22417898597680036]
[0.2526643601712495, 0.0]
[0.1, 0.13185941967731007]
[0.35936952262673677, 0.2343053515313778]
[0.8483455559375002, 0.17118001820051398]
[0.15266235629211755, 0.0]
[0.94199872030193, 0.0]
[0.4722370948139131, 0.03119585004165633]
[0.1, 0.18269292127185693]
[1.0, 0.0682663294197576]
[0.1, 0.0]
[0.2731389939621739, 0.0]
[0.8252949576164428, 0.09198186548064474]
[0.42441634289442665, 0.0]
[0.40615695209376557, 0.0]
[0.1, 0.0]
