[0.5432511554144408, 1.8407692096616162]
[0.3460061399712079, 3.454309678657281]
[0.19004065402986564, 5.273137773230818]
[0.7808156561189992, 1.4249279269237147]
[1.0, 1.1569345085748215]
[0.4650760638431611, 2.4440878541861046]
[0.8471329734836366, 1.1804522209632964]
[0.15762011192369862, 7.184207607656704]
[0.3347221374947432, 3.3933721554831955]
[0.22100393826006648, 5.4699972475331675]
[0.3174341354815657, 3.840755826860359]
[0.5087525407911475, 2.275690648539996]
[0.5077361082840055, 1.9695270509314329]
[0.5606737793361554, 1.8407702251777789]
[0.8637852700596507, 1.3148481713804547]
[0.1253359641505909, 9.251506671643956]
[0.514281006460761, 2.1866768807872803]
[0.7667646740975327, 1.4517494632175731]
[0.785240493643667, 1.2734952006356772]
[0.6105211754283981, 1.950081769438197]
[0.8736743155603839, 1.1445912763940982]
[0.1, 10.0]
[0.5090529858688861, 1.9754846450196049]
[0.718834745296351, 1.531975188798468]
[0.2987963812304613, 3.346760746840174]
[0.9893458999389589, 1.010768832277668]
[0.74972730742665, 1.6022198211530427]
[0.74985290649567, 1.3335948841931633]
[0.6836266393098238, 1.4627867647310828]
[0.36962773706669316, 2.731336580984092]
[0.17069457776577157, 5.858416905147437]
[0.20556884569634998, 5.061722620998081]
[0.6945155698701662, 1.5544324397220082]
[0.4888036129385025, 2.2916681550356963]
[0.4658929262344389, 2.146415933125365]
[0.19980378047936126, 5.654720437751407]
[0.2442692590521502, 4.50436148829667]
[0.3471905851905602, 3.490302935391878]
[0.19571034483014138, 5.109591937349598]
[0.42321600481857324, 2.362859600332662]
[0.4351464118806159, 2.8573643580158588]
[0.4982754383076326, 2.006922122022409]
[0.16107843720654746, 6.208155587688756]
[0.1, 11.19575386198104]
[0.42561558198528543, 2.3495380393158922]
[0.7675146331335468, 1.302906754907435]
[0.43708085443112843, 2.6214795358407255]
[0.3706149600540383, 3.074778862310065]
[0.47336963392503023, 2.1125140446976256]
[0.8507074008383857, 1.175492300895095]
[0.16963348141475257, 6.63623174302955]
[0.5630539163945834, 1.7760288506708628]
[0.7903730779113537, 1.2652252815121285]
[0.1, 10.0]
[0.2563938589309441, 4.765456372991818]
[0.43417230948638535, 2.7910149390095143]
[0.330372255202879, 3.637768658067563]
[1.0, 1.2219251248143579]
[0.5511778681348858, 2.1802997080885413]
[0.42711654170463836, 2.919302696578497]
[0.9497498954770067, 1.052908776049673]
[0.1, 10.172964461545112]
[0.21391697031745793, 4.674710933480293]
[0.1336489625225544, 8.613345115179888]
[0.24737480454253863, 4.055415267199532]
[0.7971757507416751, 1.3190919144188602]
[0.1, 10.0]
[0.7768647055743183, 1.2872254239697025]
[0.6537376524075098, 1.5296656025812725]
[0.36104826575330407, 2.9775492276835407]
[0.3779815006316801, 2.821385025090927]
[0.1, 10.0]
[0.1, 10.0]
[0.1, 10.0]
[0.1, 10.854868380860907]
[0.5851056687048399, 1.7090929954815666]
[0.1, 10.0]
[0.6623953933324442, 1.6447838598976565]
[0.1, 10.0]
[1.0, 1.0]
[0.2546639608057584, 4.46520211601527]
[0.36650398282716695, 2.728483309474899]
[0.3473660141049475, 3.3193597936042374]
[0.9617969933670547, 1.1876052810414608]
[0.7104530584612057, 1.7230962290855516]
[0.2526643601712495, 3.9578197705534146]
[0.1, 11.318594196773102]
[0.35936952262673677, 3.4346411529544287]
[0.8483455559375002, 1.380545946169603]
[0.15266235629211755, 6.5504032840061255]
[0.94199872030193, 1.061572567401662]
[0.4722370948139131, 2.1836400853855054]
[0.1, 11.826929212718568]
[1.0, 1.0682663294197576]
[0.1, 10.0]
[0.2731389939621739, 3.661139647232085]
[0.8252949576164428, 1.3231413271134334]
[0.42441634289442665, 2.3561769397950574]
[0.40615695209376557, 2.462102383930485]
[0.1, 10.0]
